part_id,description,material,specification,quantity,unit,dimension_1_mm,dimension_2_mm,dimension_3_mm,notes
FDT-001,Main drain tank outer shell,Hastelloy-N,ASTM B622/B575; UNS N10003,1,ea,1219 OD,9.53 wall,1524 ht,"Cylindrical; outer wall of annular geometry; 100% RT welds"
FDT-002,Main drain tank inner cylinder (annulus boundary),Hastelloy-N,ASTM B622; UNS N10003,1,ea,914 OD,9.53 wall,1524 ht,"Defines inner edge of salt-bearing annulus; concentric with outer shell"
FDT-003,Main drain tank top head,Hastelloy-N,ASTM B575 plate; UNS N10003,1,ea,1219 OD,12.7 thk,,"Flat or ellipsoidal; penetrations for drain/fill/vent nozzles"
FDT-004,Main drain tank bottom head,Hastelloy-N,ASTM B575 plate; UNS N10003,1,ea,1219 OD,12.7 thk,,"Flat or ellipsoidal; drain nozzle penetration"
FDT-005,Center column outer shell,Hastelloy-N,ASTM B622; UNS N10003,1,ea,610 OD,6.35 wall,1524 ht,"Encloses B4C neutron absorber; seal-welded top and bottom"
FDT-006,Boron carbide neutron absorber fill,B4C pellets or Boral sheet,"Natural boron or enriched 10B; loading per criticality safety analysis. MINIMUM SPECIFIED LOAD: ≥45 kg B4C per main drain tank (≥2.5 kg ¹⁰B per metre of centre-column height); ≥20 kg per overflow tank. Basis: k_eff < 0.95 under fully-flooded worst-case scenario (ORNL-TM-1647 criticality safety analysis or equivalent). QA HOLD POINT: Do not close centre column without QA sign-off confirming as-installed mass against this minimum.",≥45 (FDT) + ≥20 (OFT),kg,,,,"Fills centre column to achieve k_eff < 0.95 under any credible flooding scenario. Pellet size: 6 mm dia × 6 mm; bulk density ~1.7 g/cc. As-installed mass to be recorded in nuclear material control log."
FDT-007,Drain line nozzle (primary loop → FDT top),Hastelloy-N,ASTM B622; 2-in SCH40; UNS N10003,1,ea,60.3 OD,3.91 wall,200 lg,"Top of tank; gravity inlet from primary loop drain line"
FDT-008,Fill line nozzle (FDT bottom → primary loop),Hastelloy-N,ASTM B622; 2-in SCH40; UNS N10003,1,ea,60.3 OD,3.91 wall,200 lg,"Bottom of tank; salt return to primary loop via FV-103"
FDT-009,Overflow line nozzle,Hastelloy-N,ASTM B622; 2-in SCH40; UNS N10003,1,ea,60.3 OD,3.91 wall,200 lg,"At design high-level mark on tank; routes to overflow tank"
FDT-010,Cover gas / vent nozzle,Hastelloy-N,ASTM B622 tube; 12.7 mm OD; UNS N10003,2,ea,12.7 OD,1.65 wall,150 lg,"One for He cover gas supply; one for off-gas vent line"
FDT-011,Thermocouple well nozzle,Hastelloy-N,ASTM B622 tube; 12.7 mm OD; UNS N10003,8,ea,12.7 OD,1.65 wall,200 lg,"Wall temperatures at 8 locations around circumference and height"
FDT-012,Electric heat trace element (per zone),Mineral-insulated NiCr resistance element,NiCr alloy; MgO insulation; Hastelloy-N sheath; rated 750 C,12,ea,,,,"Layout: 3 axial levels (bottom / mid / top) × 4 circumferential quadrants = 12 zones. Each zone covers ~25% of tank circumference and ~500 mm axial height; independently powered. Zoned to maintain tank above 460 C liquidus when needed; natural convection passive cooling limits max wall temp to <800 C at 72 h after shutdown."
FDT-013,Overflow tank outer shell,Hastelloy-N,ASTM B622/B575; UNS N10003,1,ea,610 OD,7.94 wall,762 ht,"Annular geometry with inner column (safety); same material as FDT"
FDT-014,Overflow tank inner column,Hastelloy-N + B4C fill,Same as FDT center column,1,ea,304 OD,6.35 wall,762 ht,"Criticality control"
FDT-015,Drain line pipe (primary loop to FDT),Hastelloy-N,ASTM B622; 2-in SCH40; UNS N10003,~8,m,60.3 OD,3.91 wall,,"Estimated 8 m based on typical cell layout (reactor vessel lower nozzle to FDT top); continuous downward slope ≥25 mm/m; fully heat-traced; no low pockets. Verify final length against cell layout drawing before procurement."
FDT-016,Fill line pipe (FDT to primary loop),Hastelloy-N,ASTM B622; 2-in SCH40; UNS N10003,~8,m,60.3 OD,3.91 wall,,"Estimated 8 m (same route as FDT-015 in reverse); fully heat-traced; freeze valve FV-103 in line. Verify final length against cell layout drawing before procurement."
